Brand,Model,category,source,sourceType,sourceId
Denon,AVRX1500H  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXNR686    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS740H   ,Audio/Video Receiver,Fry's Electronics,retailer,1
ELAC,DS-S101    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-RZ1100  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXNR787    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSXLX502   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSXLX103   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,R-N602BL   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Sony,HTST5      ," Sound Bars",Fry's Electronics,retailer,1
Bose,740928-1110," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-K450/ZA ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTCT380    ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ4Y       ," Sound Bars",Fry's Electronics,retailer,1
Sony,HT-ST7     ," Sound Bars",Fry's Electronics,retailer,1
Naxa,NHS-2007   ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-F355/ZA ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-J250    ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-J355/ZA ," Sound Bars",Fry's Electronics,retailer,1
LG,SPJ4-S     ," Sound Bars",Fry's Electronics,retailer,1
Philips,HTL2161B/F7B        ," Sound Bars",Fry's Electronics,retailer,1
iLive,ITB195B    ," Sound Bars",Fry's Electronics,retailer,1
iLive,ITB284B    ," Sound Bars",Fry's Electronics,retailer,1
Grand Prix,iT123B     ," Sound Bars",Fry's Electronics,retailer,1
SYBA,CL-SPK20149," Sound Bars",Fry's Electronics,retailer,1
SYBA,CL-SPK20037," Sound Bars",Fry's Electronics,retailer,1
Philips,HTL2101A/F7B        ," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,AM8114-A   ," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,AM6914-A   ," Sound Bars",Fry's Electronics,retailer,1
Yamaha,YAS-706BL  ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ9        ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTCT390    ," Sound Bars",Fry's Electronics,retailer,1
JBL,JBLSB450BLKAM       ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ5Y-S     ," Sound Bars",Fry's Electronics,retailer,1
JBL,SB400      ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTCT780    ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ5Y       ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTXT2      ," Sound Bars",Fry's Electronics,retailer,1
iLive,ITB296B    ," Sound Bars",Fry's Electronics,retailer,1
Boston,TVee26REFURBISHED   ," Sound Bars",Fry's Electronics,retailer,1
Sanyo,RFWSB426F  ," Sound Bars",Fry's Electronics,retailer,1
iLive,IT082B     ," Sound Bars",Fry's Electronics,retailer,1
Boston,TVee10     ," Sound Bars",Fry's Electronics,retailer,1
Grand Prix,ITP152B    ," Sound Bars",Fry's Electronics,retailer,1
Sony,HT-CT80    ," Sound Bars",Fry's Electronics,retailer,1
Onkyo,LSB-50     ," Sound Bars",Fry's Electronics,retailer,1
LG,LAS454B    ," Sound Bars",Fry's Electronics,retailer,1
JBL,CINEMA SB400-Z      ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTST9      ," Sound Bars",Fry's Electronics,retailer,1
Yamaha,YAS-107BL  ," Sound Bars",Fry's Electronics,retailer,1
LG,SK5Y       ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ7        ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTCT790    ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-N550/ZA ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTCT290    ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-M550/ZA ," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,AM6946-A   ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ8        ," Sound Bars",Fry's Electronics,retailer,1
LG,SH7B       ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-M450/ZA ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ4R       ," Sound Bars",Fry's Electronics,retailer,1
